Area Abbrv,Division,Department Name,Fund,Department,Acct Type,Account Name,CurrYrOrigSep,CurrYrOrigOct,CurrYrOrigNov,CurrYrOrigDec,CurrYrOrigJan,CurrYrOrigFeb,CurrYrOrigMar,CurrYrOrigApr,CurrYrOrigMay,CurrYrOrigJun,CurrYrOrigJul,CurrYrOrigAug,CurrYrOrigYrTotal,CurrYrAdjSep,CurrYrAdjOct,CurrYrAdjNov,CurrYrAdjDec,CurrYrAdjJan,CurrYrAdjFeb,CurrYrAdjMar,CurrYrAdjApr,CurrYrAdjMay,CurrYrAdjJun,CurrYrAdjJul,CurrYrAdjAug,CurrYrAdjYrTotal,CurrYrActualsSep,CurrYrActualsOct,CurrYrActualsNov,CurrYrActualsDec,CurrYrActualsJan,CurrYrActualsFeb,CurrYrActualsMar,CurrYrActualsApr,CurrYrActualsMay,CurrYrActualsJun,CurrYrActualsJul,CurrYrActualsAug,CurrYrActualsYrTotal,PrevYrActualsSep,PrevYrActualsOct,PrevYrActualsNov,PrevYrActualsDec,PrevYrActualsJan,PrevYrActualsFeb,PrevYrActualsMar,PrevYrActualsApr,PrevYrActualsMay,PrevYrActualsJun,PrevYrActualsJul,PrevYrActualsAug,PrevYrActualsYrTotal
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,7,72 - Pool-Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971,0,0,0,0,400,50,0,0,1421,0,0,0,0,1058,0,147,0,165,231.72222222222226,247.62222222222226,263.52222222222224,1370,0,0,0,0,0,0,0,0,0,0,0,0,0
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,7,73 - Pool-Other Oper,0,0,0,201,25,56,0,0,400,0,0,298,980,0,0,0,201,25,56,0,0,8149,101,0,4798,13330,269,0,0,0,0,693,360,796,6312,3267.75,3733.9666666666662,4200.183333333333,8431,0,0,0,201,25,170,113,787,259,0,367,281,2201
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,7,74 - Pool-Monthly Chgs,14580,3492,4000,2867,3349,935,492,8000,2081,1539,5761,11320,58416,14580,3492,4000,1896,3349,9706,492,8000,2081,1539,5761,2969,57865,11728,1561,4758,1790,8719,2447,1271,11901,2482,4160.694444444445,3956.0111111111123,3751.327777777779,46656,0,3492,5998,2867,3349,535,837,6566,12105,1199,28861,19257,85066
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,7,76 - Pool-Other Exp,0,0,0,0,0,0,0,0,0,0,275,0,275,0,0,0,0,0,0,0,275,51,0,0,0,326,325,0,0,0,0,0,0,0,0,-72.2222222222222,-93.88888888888889,-115.55555555555557,325,0,0,0,0,0,0,0,0,0,0,0,0,0
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,7,78 - Pool-Cap Equip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1424,199,1623
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,6,63 - Pool-FT Admin/Supp,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22815,273868,6578,6245,6245,6245,6245,6231,6231,6231,6231,22925,22925,22918,125250,7970,6244,6244,6244,6244,4641,3038,3038,3038,2075.583333333333,1452.8999999999996,830.2166666666653,46703,22822,22822,22822,22822,22822,22822,22822,22822,22822,22822,22822,6475,257520
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,6,65 - Staff Benefits,3538,3538,3538,3538,3538,3538,3538,3538,3538,3538,3538,3536,42454,3555,3555,3555,3555,3555,3555,3555,3555,3555,3555,3555,3551,42656,863,852,750,770,749,545,329,331,329,215.94444444444446,136.51111111111118,57.07777777777778,5518,2917,2918,2919,2925,2914,2911,2935,2920,2916,2912,2908,1174,33270
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,6,66 - Pool-Other Employee Benefits,229,229,229,229,229,229,229,229,229,229,229,229,2748,229,229,229,229,229,229,229,229,229,229,229,229,2748,70,61,61,61,72,48,23,23,23,16.527777777777786,10.01111111111112,3.49444444444444,443,228,228,228,228,257,236,228,228,228,228,228,63,2610
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,7,71 - Pool-Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1000,1000,2000,5500,0,0,0,0,0,0,0,0,1000,444.44444444444457,511.1111111111112,577.7777777777779,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,7,72 - Pool-Travel,1500,84,0,1305,700,995,82,0,107,655,247,1500,7175,1500,84,0,1305,700,995,82,0,107,655,247,1500,7175,0,1883,0,301,0,0,120,137,367,-7.250000000000114,-71.10000000000014,-134.95000000000016,2809,0,66,27,13,5,0,0,74,0,76,0,98,360
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,7,73 - Pool-Other Oper,0,0,0,0,0,14,894,2008,0,0,0,2960,5876,0,0,0,0,0,14,894,2008,0,0,0,2960,5876,-9,0,82,71,180,0,193,89,0,105.16666666666666,112.73333333333332,120.30000000000001,606,0,0,0,0,0,0,0,0,0,0,58,590,648
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,7,74 - Pool-Monthly Chgs,0,0,8,5,2,0,0,0,0,0,2,0,17,0,0,8,5,2,0,0,0,20,10,12,10,67,0,0,10,0,1,1,0,0,23,9.972222222222221,11.188888888888888,12.405555555555553,35,433,0,0,0,4,0,2,0,7,0,0,123,569
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,7,76 - Pool-Other Exp,0,75,0,0,0,0,0,0,0,0,0,61037,61112,0,75,0,0,0,0,0,0,2750,0,0,52737,55562,0,75,1250,0,1500,0,0,0,0,86.80555555555549,41.3888888888888,-4.027777777777828,2825,0,0,0,0,0,0,0,1250,0,0,0,0,1250
VPAD,Director Business Operations,Business Operations,F10 - Operating,0500000003 - Business Operations,6,63 - Pool-FT Admin/Supp,40818,40818,40818,40818,40818,40818,40818,40818,40818,40818,40818,40818,489816,39437,38145,39158,39737,41501,42433,42433,42433,46393,46571,46570,46527,511338,38630,38143,37999,39704,41736,42398,42398,42398,46359,45682.75,46602.3,47521.850000000006,369765,34043,35048,35048,35048,35766,36643,36643,36643,36643,38161,40818,41622,442126
VPAD,Director Business Operations,Business Operations,F10 - Operating,0500000003 - Business Operations,6,64 - Pool-PT Admin/Supp,11344,7756,7756,7756,7756,7756,7756,7756,7756,7756,7756,11344,100248,11382,4230,4395,7795,7793,8571,8599,8582,-50903,8592,8591,12223,39850,2567,2709,2016,1006,772,0,0,0,0,-944.9722222222222,-1335.5222222222224,-1726.0722222222225,9070,1681,2100,2228,2116,2669,3722,3474,2240,1863,2016,1859,5578,31546
VPAD,Director Business Operations,Business Operations,F10 - Operating,0500000003 - Business Operations,6,65 - Staff Benefits,6667,6560,6560,6560,6560,6560,6560,6560,6560,6560,6560,6668,78935,6819,6713,6713,6713,6712,7665,7666,7666,7666,7666,7665,7794,87458,6158,7555,6213,6385,6237,6681,6693,7033,7334,7064.944444444443,7138.177777777777,7211.411111111111,60289,6795,6823,6824,6826,6867,6896,6986,6890,6861,7093,7470,7555,83886
VPAD,Director Business Operations,Business Operations,F10 - Operating,0500000003 - Business Operations,6,66 - Pool-Other Employee Benefits,408,408,408,408,408,408,408,408,408,408,408,408,4896,408,408,408,408,408,470,470,470,470,470,470,468,5328,394,381,380,397,499,488,451,427,472,489.0277777777777,500.4111111111111,511.7944444444444,3891,352,353,353,353,434,430,404,375,370,386,412,414,4635
VPAD,Director Business Operations,Business Operations,F10 - Operating,0500000003 - Business Operations,7,71 - Pool-Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3585,3415,0,-5475,0,0,0,0,0,0,0,1525,0,0,0,1525,0,0,0,0,0,42.36111111111103,16.944444444444343,-8.472222222222285,1525,0,0,0,0,0,0,0,0,0,0,0,0,0
VPAD,Director Business Operations,Business Operations,F10 - Operating,0500000003 - Business Operations,7,72 - Pool-Travel,125,125,125,125,125,125,125,125,125,125,125,375,1750,125,125,125,125,125,125,125,125,125,125,125,375,1750,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
VPAD,Director Business Operations,Business Operations,F10 - Operating,0500000003 - Business Operations,7,73 - Pool-Other Oper,2034,252,166,3800,0,140,148,272,336,86,1337,10082,18653,2034,252,166,4310,0,140,148,272,-4559,86,1337,14977,19163,0,0,106,82,587,492,48,1271,176,707.8055555555557,787.988888888889,868.1722222222224,2763,0,84,0,0,34,100,0,12,0,169,567,34,999
VPAD,Director Business Operations,Business Operations,F10 - Operating,0500000003 - Business Operations,7,74 - Pool-Monthly Chgs,333,333,333,333,333,333,333,333,333,333,333,333,3996,333,333,333,333,333,333,333,333,333,333,333,333,3996,25,1,0,0,59,196,24,16,422,238.97222222222229,270.2555555555556,301.53888888888895,742,0,930,197,9,0,0,0,0,0,566,13,33,1748
VPAD,Director Business Operations,Print Services,F10 - Operating,0500000056 - Print Services,6,63 - Pool-FT Admin/Supp,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3591,43070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,4157,1775,4804,4157,4157,4157,4157,0,1995,2494,2494,2702,37047
VPAD,Director Business Operations,Print Services,F10 - Operating,0500000056 - Print Services,6,65 - Staff Benefits,556,556,556,556,556,556,556,556,556,556,556,557,6673,556,556,556,556,556,-397,-397,-397,-397,-397,-397,-398,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,692,330,960,693,692,691,697,0,1037,600,599,611,7600
VPAD,Director Business Operations,Print Services,F10 - Operating,0500000056 - Print Services,6,66 - Pool-Other Employee Benefits,36,36,36,36,36,36,36,36,36,36,36,36,432,36,36,36,36,36,-26,-26,-26,-26,-26,-26,-24,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,42,18,48,42,50,50,43,0,20,25,25,27,388
VPAD,Director Business Operations,Print Services,F10 - Operating,0500000056 - Print Services,7,71 - Pool-Services,11722,11722,11722,11722,11722,11722,11722,11722,14239,11722,11722,11725,143184,11722,11722,11722,11722,-28141,11722,11722,11722,3272,11722,11722,62555,143184,2040,2039,9804,764,4099,2040,6401,14835,15162,13465.944444444447,14888.37777777778,16310.811111111112,57185,670,2329,3472,1508,10880,2113,19631,4250,754,7734,13511,14910,81763
VPAD,Director Business Operations,Print Services,F10 - Operating,0500000056 - Print Services,7,73 - Pool-Other Oper,10000,5583,0,5690,5074,0,0,1976,5361,0,142,0,33826,10000,5583,0,5690,-21273,0,0,1976,-1976,0,142,33684,33826,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,155,0,0,0,0,277,0,0,0,0,431
VPAD,Director Business Operations,Print Services,F10 - Operating,0500000056 - Print Services,7,74 - Pool-Monthly Chgs,0,2349,0,0,2369,488,0,0,0,0,0,0,5206,0,2349,0,0,2369,488,0,0,0,0,0,0,5206,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,835,0,0,338,0,0,105,0,0,0,0,1278
VPAD,Director Facilities,Custodial Services,F10 - Operating,0500000010 - Custodial Services,6,63 - Pool-FT Admin/Supp,46468,46794,46468,46468,46468,46834,46468,46468,46468,46468,46468,46476,558316,43781,42551,44583,44819,39254,38909,41650,37385,40966,47507,47507,47431,516343,43646,42219,44577,44813,39248,37919,37222,33080,37902,34069.805555555555,32869.85555555555,31669.905555555553,360627,44807,44165,41954,43634,44343,44083,44759,43781,43781,41793,42768,41895,521763
VPAD,Director Facilities,Custodial Services,F10 - Operating,0500000010 - Custodial Services,6,64 - Pool-PT Admin/Supp,0,0,0,0,0,0,0,0,0,0,0,0,0,158,200,201,170,149,160,225,164,164,82,0,0,1673,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VPAD,Director Facilities,Custodial Services,F10 - Operating,0500000010 - Custodial Services,6,65 - Staff Benefits,12546,12634,12546,12546,12546,12645,12546,12546,12546,12546,12546,12548,150741,12846,12936,12848,12847,12846,12946,12849,12847,12846,12844,12842,12763,154260,16381,15510,16457,16479,15227,14745,14350,13233,13559,13098.972222222219,12697.855555555554,12296.738888888885,135940,17878,17252,16461,15976,17021,16997,16720,16629,16629,16449,16536,16156,200705
VPAD,Director Facilities,Custodial Services,F10 - Operating,0500000010 - Custodial Services,6,66 - Pool-Other Employee Benefits,465,468,465,465,465,469,465,465,465,465,465,465,5587,465,468,465,465,465,469,465,465,465,465,465,465,5587,438,422,446,448,471,451,446,356,384,394.8611111111111,388.01111111111106,381.1611111111111,3862,452,438,420,436,527,526,515,471,438,418,428,416,5484
VPAD,Director Facilities,Custodial Services,F10 - Operating,0500000010 - Custodial Services,7,71 - Pool-Services,60238,57738,58238,58363,57738,58238,60738,57738,58238,61250,60625,60625,709767,60238,57738,58238,58363,47788,58238,60738,91092,117238,72105,99376,132730,913882,62149,62699,62149,62149,72105,72105,72105,72105,72105,75900.38888888888,77532.22222222222,79164.05555555555,609671,38551,53523,0,51947,109685,57738,61588,57738,60988,62238,60988,57738,672720
VPAD,Director Facilities,Custodial Services,F10 - Operating,0500000010 - Custodial Services,7,73 - Pool-Other Oper,375,7250,400,750,875,0,500,8000,400,0,1050,956,20556,375,7250,400,750,875,0,500,-2112,-7850,0,1050,11068,12306,0,142,0,46,0,0,0,0,0,-18.444444444444457,-26.31111111111113,-34.177777777777806,188,150,357,0,139,482,225,62,0,0,129,366,13374,15284
VPAD,Director Facilities,Custodial Services,F10 - Operating,0500000010 - Custodial Services,7,74 - Pool-Monthly Chgs,2,2,2,2,2,2,2,2,2,2,2,2,24,2,2,2,2,2,2,2,2,2,2,2,2,24,0,0,0,26,0,0,0,0,0,0.7222222222222214,0.28888888888888786,-0.1444444444444457,26,0,0,0,0,0,0,0,0,0,0,0,0,0
VPAD,Director Facilities,Custodial Services,F10 - Operating,0500000010 - Custodial Services,8,87 - Furniture Fixtures Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9950,0,0,0,-7885,0,0,0,2065,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VPAD,Director Facilities,Facilities,F10 - Operating,0500000006 - Facilities,6,63 - Pool-FT Admin/Supp,5807,5807,5807,5807,5807,5807,5807,5807,5807,5807,5807,5802,69679,5923,11116,11363,11363,15141,13983,11633,11633,15491,15491,15491,15490,154118,5923,11116,11363,11363,15157,13999,11363,11363,11363,13540.305555555555,13959.255555555555,14378.205555555554,103011,6863,6863,6863,6863,9476,12670,2375,5807,5807,5807,5807,5807,81007
VPAD,Director Facilities,Facilities,F10 - Operating,0500000006 - Facilities,6,65 - Staff Benefits,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1567,18815,2643,4045,4112,4112,4185,4185,4185,4185,4185,4185,4183,4175,48380,1520,3286,3349,3354,3450,3461,3351,3350,3351,3799.138888888889,3926.2555555555555,4053.3722222222223,28472,1466,1466,1469,1466,1535,1606,-566,1263,1490,1488,1488,1489,15662
VPAD,Director Facilities,Facilities,F10 - Operating,0500000006 - Facilities,6,66 - Pool-Other Employee Benefits,58,58,58,58,58,58,58,58,58,58,58,58,696,97,149,151,151,154,154,154,154,154,154,154,151,1777,61,113,114,117,181,157,115,114,115,142.52777777777777,146.87777777777777,151.22777777777776,1086,69,69,71,69,114,143,25,67,59,58,58,59,859
VPAD,Director Facilities,Facilities,F10 - Operating,0500000006 - Facilities,7,71 - Pool-Services,337,1437,337,337,337,1537,337,337,337,3337,2337,337,11344,687,2387,1687,687,687,6887,7487,687,-289,9007,2337,27371,59622,391,1931,3503,0,612,337,1900,8346,3886,4852.555555555556,5358.488888888889,5864.422222222222,20907,0,1659,36,10,65,1922,176,6020,1000,865,3803,12537,28091
VPAD,Director Facilities,Facilities,F10 - Operating,0500000006 - Facilities,7,72 - Pool-Travel,20,20,20,20,20,20,20,20,20,20,20,20,240,20,20,20,20,20,20,20,20,20,20,20,20,240,0,5,7,7,0,0,11,65,-7,22.52777777777778,25.077777777777783,27.62777777777778,87,0,35,23,9,0,0,0,80,0,7,0,0,154
VPAD,Director Facilities,Facilities,F10 - Operating,0500000006 - Facilities,7,73 - Pool-Other Oper,353,3350,1650,350,350,350,350,350,350,350,350,350,8503,3,3000,300,0,0,0,0,0,4874,0,350,5608,14135,1028,1236,316,560,301,292,345,3750,350,1293.6666666666667,1370.666666666667,1447.666666666667,8177,-4083,2273,1468,283,2698,229,2365,-609,848,2203,646,1104,9424
VPAD,Director Facilities,Facilities,F10 - Operating,0500000006 - Facilities,7,74 - Pool-Monthly Chgs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,150,4,10,-1,0,13,0,1,0,1,-0.05555555555555536,-0.6888888888888891,-1.3222222222222229,29,0,0,313,0,0,0,0,0,0,2,1,0,315
VPAD,Director Facilities,Facilities,F10 - Operating,0500000006 - Facilities,7,75 - Pool-Utilities,100,100,100,100,100,100,100,100,100,100,100,100,1200,100,100,100,100,100,100,100,100,100,100,100,100,1200,97,0,97,97,97,96,0,192,0,74.52777777777779,74.41111111111113,74.29444444444445,675,0,193,0,193,97,0,97,195,0,97,97,195,1164
VPAD,Director Facilities,Facilities,F10 - Operating,0500000006 - Facilities,7,76 - Pool-Other Exp,2,120,0,10300,0,0,0,0,0,0,0,0,10422,2,120,0,10300,0,0,0,0,0,0,0,0,10422,0,0,110,0,8709,0,0,0,0,961.5555555555555,957.8888888888888,954.2222222222222,8819,0,111,110,10226,0,0,0,0,0,0,0,0,10447
VPAD,Director Facilities,Grounds,F10 - Operating,0500000007 - Grounds,6,63 - Pool-FT Admin/Supp,17743,17743,17743,17743,17743,17743,17743,17743,17743,17743,17743,17738,212911,18140,14242,14056,14056,14056,16831,14056,14056,16568,18140,18140,18117,190458,18138,14239,14054,14054,14054,12746,14054,14054,14054,12866.416666666666,12563.099999999999,12259.783333333333,129446,15033,16388,17742,17742,17595,16756,18017,17742,17742,17742,17742,17742,207985
VPAD,Director Facilities,Grounds,F10 - Operating,0500000007 - Grounds,6,64 - Pool-PT Admin/Supp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,51,34,34,22,0,1,156,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VPAD,Director Facilities,Grounds,F10 - Operating,0500000007 - Grounds,6,65 - Staff Benefits,4791,4791,4791,4791,4791,4791,4791,4791,4791,4791,4791,4789,57490,4903,4903,4903,4903,4903,4903,4905,4904,4904,4904,4903,4886,58824,6874,5231,5174,5172,5521,5397,5521,5521,5521,5246.083333333334,5185.700000000001,5125.3166666666675,49933,5421,6105,6789,6789,6776,6698,6815,6789,6789,6789,6789,6789,79339
VPAD,Director Facilities,Grounds,F10 - Operating,0500000007 - Grounds,6,66 - Pool-Other Employee Benefits,177,177,177,177,177,177,177,177,177,177,177,177,2124,177,177,177,177,177,177,177,177,177,177,177,177,2124,181,142,141,141,169,153,167,150,141,147.88888888888889,146.6888888888889,145.48888888888888,1384,150,164,177,177,211,201,208,188,177,177,177,177,2188
VPAD,Director Facilities,Grounds,F10 - Operating,0500000007 - Grounds,7,71 - Pool-Services,25897,30297,35547,29972,34923,26773,29923,30098,31273,29923,25773,25773,356172,25897,30297,35547,70572,34923,26773,29923,-19418,38773,31749,27599,77114,409749,2898,28740,4671,98172,255,27775,496,83414,26865,45460.36111111111,48479.41111111111,51498.461111111115,273287,24830,31797,33886,29815,32726,32722,33330,31747,28256,25654,50259,99263,454285
VPAD,Director Facilities,Grounds,F10 - Operating,0500000007 - Grounds,7,72 - Pool-Travel,1,0,0,0,500,0,0,0,0,500,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,130,0,0,0,0,0,0,0,130
VPAD,Director Facilities,Grounds,F10 - Operating,0500000007 - Grounds,7,73 - Pool-Other Oper,5500,5750,5750,4500,4500,4500,4500,7000,4500,4500,4500,4500,60000,0,2350,3050,1800,1800,1800,1800,4300,-10419,1800,1800,13035,23116,605,497,0,0,396,4508,0,0,475,928.1944444444445,969.8111111111111,1011.4277777777778,6481,0,3699,509,0,5939,9769,9339,1627,3630,9834,6215,6034,56594
VPAD,Director Facilities,Grounds,F10 - Operating,0500000007 - Grounds,7,74 - Pool-Monthly Chgs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,300,0,34,0,0,0,0,0,0,0,-4.722222222222225,-6.422222222222224,-8.122222222222227,34,0,0,0,0,0,0,0,0,0,0,0,0,0
VPAD,Director Facilities,Grounds,F10 - Operating,0500000007 - Grounds,7,76 - Pool-Other Exp,0,375,0,0,375,0,0,0,0,0,0,0,750,0,375,0,0,375,0,0,0,0,0,0,0,750,0,0,0,0,0,154,0,0,0,29.944444444444443,32.511111111111106,35.077777777777776,154,0,154,0,0,77,77,0,0,0,0,0,0,308
VPAD,Director Facilities,Grounds,F10 - Operating,0500000007 - Grounds,7,78 - Pool-Cap Equip,0,8150,7500,0,5000,0,0,10150,0,2500,0,0,33300,0,0,7500,0,5000,0,50000,6300,-1300,9228,6728,6729,90185,1700,0,1199,7050,0,0,0,5592,49979,23983.66666666667,27324.4,30665.13333333334,65519,0,8816,0,0,21725,0,0,0,0,0,1079,41110,72729
VPAD,Director Facilities,Grounds,F10 - Operating,0500000007 - Grounds,8,87 - Furniture Fixtures Equipment,0,0,0,0,10000,0,0,0,0,0,0,0,10000,0,0,0,0,10000,0,0,0,-4493,0,0,0,5507,0,0,0,0,0,0,0,5507,0,1988.6388888888894,2263.988888888889,2539.3388888888894,5507,0,0,0,0,9399,0,0,0,0,9025,0,39110,57534
VPAD,Director Facilities,HVAC,F10 - Operating,0500000008 - HVAC,6,63 - Pool-FT Admin/Supp,46464,46464,46464,46464,46464,46464,46464,46464,46464,46464,46464,46475,557579,38356,37168,35451,35326,34881,33079,31397,35923,39977,43528,43528,43527,452141,39241,35209,34812,32476,35453,31262,28897,34182,33921,30822.13888888889,30198.722222222223,29575.305555555555,305453,47769,47154,46420,46647,47130,46169,51818,47344,42901,40625,38396,37968,540341
